hit_id,customer_id,account_id,scenario_id,window_start,window_end,transaction_count,amount_try,evidence_value,threshold_value,source_transaction_ids,rationale
H000125,C001412,A0002144,STRUCTURING,2026-07-09 10:00:00,2026-07-10 10:00:00,5,219552.090000,5.000000,5.000000,T000048305|T000048306|T000048307|T000048308|T000048309,Repeated cash inflows clustered below an internal monitoring parameter.
H000126,C001424,A0000499,STRUCTURING,2026-07-12 10:00:00,2026-07-13 10:00:00,5,221913.210000,5.000000,5.000000,T000048295|T000048296|T000048297|T000048298|T000048299,Repeated cash inflows clustered below an internal monitoring parameter.
H000127,C001426,A0001450,STRUCTURING,2026-06-28 06:00:00,2026-06-29 07:00:00,6,282469.140000,6.000000,5.000000,T000048079|T000048080|T000048081|T000048082|T000048083|T000048084,Repeated cash inflows clustered below an internal monitoring parameter.
H000128,C001451,A0002184,STRUCTURING,2026-07-14 06:00:00,2026-07-15 07:00:00,6,274082.740000,6.000000,5.000000,T000048031|T000048032|T000048033|T000048034|T000048035|T000048036,Repeated cash inflows clustered below an internal monitoring parameter.
H000129,C001473,A0000533,STRUCTURING,2026-08-04 06:00:00,2026-08-05 07:00:00,6,277294.670000,6.000000,5.000000,T000048013|T000048014|T000048015|T000048016|T000048017|T000048018,Repeated cash inflows clustered below an internal monitoring parameter.
H000130,C001477,A0001107,STRUCTURING,2026-06-12 10:00:00,2026-06-13 10:00:00,5,219044.400000,5.000000,5.000000,T000048320|T000048321|T000048322|T000048323|T000048324,Repeated cash inflows clustered below an internal monitoring parameter.
H000131,C001575,A0001092,STRUCTURING,2026-07-20 06:00:00,2026-07-21 07:00:00,6,275911.260000,6.000000,5.000000,T000048061|T000048062|T000048063|T000048064|T000048065|T000048066,Repeated cash inflows clustered below an internal monitoring parameter.
H000132,C001712,A0001167,STRUCTURING,2026-06-26 06:00:00,2026-06-27 07:00:00,6,278804.660000,6.000000,5.000000,T000048007|T000048008|T000048009|T000048010|T000048011|T000048012,Repeated cash inflows clustered below an internal monitoring parameter.
H000133,C001761,A0000275,STRUCTURING,2026-08-04 10:00:00,2026-08-05 10:00:00,5,211096.290000,5.000000,5.000000,T000048315|T000048316|T000048317|T000048318|T000048319,Repeated cash inflows clustered below an internal monitoring parameter.
H000134,C001774,A0001643,STRUCTURING,2026-07-19 10:00:00,2026-07-20 10:00:00,5,206472.060000,5.000000,5.000000,T000048330|T000048331|T000048332|T000048333|T000048334,Repeated cash inflows clustered below an internal monitoring parameter.
